PID,Data0,Data1,Seq
0x10,04,AB,31
0x42,37,50,31
0x0C,0C,80,94
0x0D,00,00,94
0x11,34,00,63
0x0F,3F,00,63
0x04,35,00,63
0x0C,0C,76,95
0x0D,00,00,95
0x0C,0C,79,96
0x0D,00,00,96
0x11,34,00,64
0x0F,3F,00,64
0x04,35,00,64
0x10,04,A3,32
0x42,37,63,32
0x05,57,00,16
0x23,0F,E0,16
0x1F,00,CB,8
0x0C,0C,7C,97
0x0D,00,00,97
0x11,34,00,65
0x0F,3F,00,65
0x04,36,00,65
0x0C,0C,83,98
0x0D,00,00,98
0x0C,0C,83,99
0x0D,00,00,99
0x11,34,00,66
0x0F,3F,00,66
0x04,35,00,66
0x10,04,A3,33
0x42,36,C7,33
0x0C,0C,7C,100
0x0D,00,00,100
0x11,34,00,67
0x0F,3F,00,67
0x04,36,00,67
0x0C,0C,7C,101
0x0D,00,00,101
0x0C,0C,80,102
0x0D,00,00,102
0x11,34,00,68
0x0F,3F,00,68
0x04,36,00,68
0x10,04,A3,34
0x42,37,3C,34
0x05,57,00,17
0x23,0F,0A,17
0x0C,0C,86,103
0x0D,00,00,103
0x11,34,00,69
0x0F,3F,00,69
0x04,36,00,69
0x0C,0C,83,104
0x0D,00,00,104
0x0C,0C,7C,105
0x0D,00,00,105
0x11,34,00,70
0x0F,3F,00,70
0x04,36,00,70
0x10,04,A8,35
0x42,37,50,35
0x0C,0C,7C,106
0x0D,00,00,106
0x11,34,00,71
0x0F,3F,00,71
0x04,36,00,71
0x0C,0C,80,107
0x0D,00,00,107
0x0C,0C,7C,108
0x0D,00,00,108
0x11,34,00,72
0x0F,3F,00,72
0x04,37,00,72
0x10,04,93,36
0x42,36,65,36
0x05,57,00,18
0x23,0F,E0,18
0x1F,00,CF,9
0x0C,0C,76,109
0x0D,00,00,109
0x11,34,00,73
0x0F,3F,00,73
0x04,37,00,73
0x0C,0C,80,110
0x0D,00,00,110
0x0C,0C,80,111
0x0D,00,00,111
0x11,34,00,74
0x0F,3F,00,74
0x04,37,00,74
0x10,04,9E,37
0x42,37,15,37
0x0C,0C,86,112
0x0D,00,00,112
0x11,34,00,75
0x0F,3F,00,75
0x04,37,00,75
0x0C,0C,80,113
0x0D,00,00,113
0x0C,0C,76,114
0x0D,00,00,114
0x11,34,00,76
0x0F,3F,00,76
0x04,38,00,76
0x10,04,9B,38
0x42,35,A2,38
